GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
49,Utah,UT,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,68.80971214013397
50,Vermont,VT,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,61.235039287557896
51,Virginia,VA,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,48.61228610496069
53,Washington,WA,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,74.81034343726976
54,West Virginia,WV,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,49.7344388556635
55,Wisconsin,WI,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,58.08694031803982
56,Wyoming,WY,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,47.53857506046696
72,Puerto Rico,PR,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,0,NA
000,United States,USA,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.418679983956416
01,Alabama,AL,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,62.61831669084101
02,Alaska,AK,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,14.983913294213387
04,Arizona,AZ,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,23.5405826847914
05,Arkansas,AR,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,27.978949058595198
06,California,CA,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,47.95588921529985
08,Colorado,CO,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,64.6021293138955
09,Connecticut,CT,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,45.56925575355748
10,Delaware,DE,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,35.596844733290325
11,District of Columbia,DC,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,68.82533844782063
