GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
13,Georgia,GA,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,54.636633811381394
15,Hawaii,HI,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,26.217113891549918
16,Idaho,ID,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.811994822029526
17,Illinois,IL,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,54.333060669486436
18,Indiana,IN,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,56.52714063399422
19,Iowa,IA,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,59.335411270788704
20,Kansas,KS,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,87.38794599770516
21,Kentucky,KY,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,46.375152760159715
22,Louisiana,LA,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,34.505424836720366
23,Maine,ME,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,56.81761813819739
24,Maryland,MD,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,61.53672074937106
25,Massachusetts,MA,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,38.82634497775837
26,Michigan,MI,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,57.04603947180813
27,Minnesota,MN,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,42.86337951139951
28,Mississippi,MS,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,32.28056828347591
29,Missouri,MO,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,56.61734677871677
