KFF - Custom State Reports

"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Dist. of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Iowa","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Total Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seniors","$15,811","$7,269","$19,515","$9,212","$12,822","$14,214","$15,128","$14,453","$17,053","$19,614","$8,996","$8,909","$12,667","$11,448","$14,491","$19,276","$26,137","$22,082","$14,231","$10,191","$11,089","$16,731","$19,865","$12,174","$32,327","$12,767","$18,373","$12,389","$24,141","$6,054","$21,335","$21,402","$11,221","$24,513","$12,567","$32,456","$18,419","$11,555","$14,917","$28,516","$15,200","$9,380","$17,609","$10,413","$13,066","$13,591","$15,735","$22,737","$17,604","$18,096","$11,804","$13,452"
"People with Disabilities","$19,401","$11,296","$38,113","$29,996","$12,756","$30,123","$34,216","$25,263","$35,684","$43,213","$4,920","$13,022","$24,758","$24,481","$11,114","$27,018","$26,066","$26,561","$20,846","$16,631","$27,078","$35,812","$21,626","$16,593","$56,041","$19,287","$28,345","$20,396","$30,588","$18,126","$23,291","$36,143","$25,188","$35,310","$21,978","$33,099","$20,255","$16,017","$16,007","$25,511","$24,818","$15,920","$23,790","$12,611","$22,814","$23,846","$23,388","$35,174","$27,446","$16,606","$23,333","$20,916"
"Adults","$4,353","$2,385","$6,367","$5,197","$2,598","$3,687","$3,708","$4,890","$8,355","$8,111","$2,311","$3,431","$4,575","$5,406","$6,762","$5,031","$8,078","$4,679","$7,906","$6,237","$3,157","$6,305","$4,283","$4,226","$5,637","$4,503","$6,379","$4,962","$6,801","$4,243","$4,733","$5,767","$5,137","$4,324","$4,160","$5,490","$4,775","$3,933","$4,471","$5,869","$5,373","$2,306","$4,166","$4,903","$3,981","$6,118","$4,757","$4,775","$5,364","$5,134","$4,737","$4,455"
"Children","$3,292","$2,227","$5,457","$3,104","$2,864","$2,997","$2,866","$3,632","$4,909","$4,638","$4,051","$2,300","$2,653","$2,973","$2,753","$2,849","$3,462","$3,427","$4,645","$3,470","$3,623","$3,594","$3,832","$2,258","$3,757","$4,369","$4,576","$3,722","$3,415","$2,351","$4,313","$3,072","$4,024","$3,251","$3,316","$3,474","$3,230","$3,263","$3,374","$4,008","$3,868","$2,430","$2,995","$3,571","$3,855","$3,523","$4,810","$3,082","$2,800","$3,244","$2,864","$3,020"
"ACA Expansion Adults","$6,417","N/A","$8,651","$7,831","$5,195","$6,100","$4,658","$7,426","$9,106","$7,995","N/A","N/A","$5,224","$5,308","$5,872","$5,686","$9,155","N/A","$8,176","$6,661","$5,235","$8,695","$7,168","$4,925","$9,814","N/A","$7,445","$6,012","$9,493","$5,096","$4,808","$6,506","$6,603","$6,235","$1,274","$10,479","$6,313","$4,753","$6,378","$6,638","$6,766","N/A","$5,051","N/A","N/A","$7,366","$5,737","$8,861","$5,652","$6,090","N/A","N/A"
"Medicaid Spending by Enrollment Group, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seniors","$170,644,224,464","$1,105,508,607","$331,827,258","$2,174,782,174","$1,284,196,046","$26,977,876,541","$1,971,535,107","$2,733,921,127","$451,661,221","$727,156,033","$7,906,676,802","$2,781,414,343","$664,937,231","$441,193,099","$6,206,834,435","$1,170,404,622","$4,831,739,665","$1,159,642,250","$1,896,009,288","$1,959,520,129","$808,287,216","$2,411,449,299","$6,051,262,890","$3,227,614,533","$3,737,489,866","$1,432,004,566","$2,433,820,867","$289,002,980","$767,074,400","$481,139,007","$480,292,704","$4,917,601,620","$955,730,833","$28,222,161,869","$3,583,469,462","$387,394,921","$5,692,235,637","$1,119,454,458","$2,109,481,002","$10,760,485,371","$708,434,123","$1,241,372,248","$256,250,341","$1,858,853,167","$8,159,997,566","$436,227,593","$410,187,252","$4,167,598,287","$3,444,752,950","$1,134,998,216","$2,049,470,860","$131,792,383"
"People with Disabilities","$239,459,187,707","$2,458,243,952","$593,002,630","$5,518,428,043","$2,044,162,146","$28,872,031,985","$3,672,825,956","$2,246,290,157","$894,355,412","$1,304,701,595","$14,676,138,358","$4,624,851,258","$525,219,636","$1,387,695,683","$3,218,725,447","$2,341,084,386","$4,601,961,937","$2,147,897,405","$4,252,051,731","$3,812,050,645","$1,626,085,164","$4,930,889,388","$7,488,106,532","$5,676,041,777","$6,985,694,771","$3,117,771,308","$5,196,772,904","$457,219,940","$1,261,279,155","$1,095,724,071","$654,834,676","$6,455,524,655","$2,015,037,044","$22,596,937,741","$8,058,112,994","$490,588,943","$8,040,316,372","$1,936,309,175","$1,884,162,730","$16,426,748,137","$998,929,813","$2,806,824,744","$479,725,281","$4,208,612,660","$16,169,984,525","$1,230,109,474","$549,194,405","$6,346,977,426","$4,887,741,436","$1,463,420,004","$4,469,674,763","$262,117,337"
"Adults","$95,064,116,125","$802,721,391","$434,595,262","$2,699,640,643","$312,908,380","$14,022,573,433","$914,943,565","$1,363,705,148","$586,124,614","$561,477,030","$4,370,484,029","$2,511,491,192","$315,232,631","$262,409,556","$4,489,142,102","$671,533,711","$4,269,110,338","$573,379,574","$1,428,853,049","$782,894,391","$331,290,007","$2,543,392,848","$3,203,378,319","$2,434,550,027","$1,998,030,689","$965,914,939","$1,334,914,658","$244,832,571","$403,464,164","$445,067,016","$106,822,157","$1,753,648,448","$969,259,584","$6,771,083,401","$3,676,266,287","$110,622,048","$3,187,805,132","$700,310,131","$448,791,108","$2,584,895,549","$468,348,182","$1,482,578,659","$125,549,154","$2,778,599,076","$7,118,734,284","$487,300,090","$99,370,823","$1,520,186,707","$1,424,193,300","$387,567,720","$3,474,950,421","$109,178,588"
"Children","$115,920,162,019","$1,443,335,587","$545,021,167","$2,710,957,294","$1,206,716,060","$13,397,971,193","$1,788,289,161","$1,419,470,625","$587,739,480","$375,666,749","$2,127,385,054","$3,392,135,199","$406,307,549","$551,686,844","$3,567,947,555","$961,193,317","$2,907,149,127","$947,129,987","$2,579,820,287","$2,256,605,905","$474,080,264","$2,210,490,744","$2,084,618,252","$2,364,482,048","$2,310,744,905","$1,757,517,266","$3,326,031,507","$411,372,551","$620,031,401","$850,791,697","$391,801,184","$2,286,315,566","$1,346,483,708","$7,315,161,011","$3,827,629,149","$207,362,038","$3,541,764,243","$2,085,667,240","$1,247,638,095","$4,646,951,203","$364,902,244","$1,641,831,930","$251,942,774","$3,123,037,052","$15,666,102,750","$896,087,608","$312,463,898","$2,283,147,476","$2,502,901,337","$691,981,523","$1,546,606,807","$159,694,410"
"ACA Expansion Adults","$175,706,893,918","N/A","$706,396,199","$6,630,963,245","$2,124,479,180","$35,792,698,164","$3,754,962,524","$3,024,710,272","$1,003,840,408","$768,902,415","N/A","N/A","$1,029,815,985","$924,138,341","$7,402,277,400","$1,678,929,026","$5,760,504,798","N/A","$5,851,634,266","$5,556,589,793","$687,009,931","$4,339,456,040","$4,142,312,134","$5,611,013,207","$3,674,517,176","N/A","$3,125,880,313","$781,702,651","$994,454,221","$2,147,383,689","$536,213,946","$5,539,410,625","$2,304,589,302","$19,067,470,473","$425,472,158","$470,632,003","$6,833,053,725","$2,160,015,875","$5,260,692,951","$8,688,619,944","$815,633,111","N/A","$104,998,336","N/A","N/A","$1,257,462,689","$467,089,282","$7,213,064,862","$5,402,575,615","$1,645,327,646","N/A","N/A"
"Total","$796,799,212,089","$5,809,809,537","$2,610,842,516","$19,734,771,399","$6,972,461,811","$119,063,151,316","$12,102,556,313","$10,788,097,329","$3,523,721,135","$3,737,903,822","$29,080,684,243","$13,309,891,992","$2,941,513,032","$3,567,123,522","$24,884,926,937","$6,823,145,061","$22,370,465,864","$4,828,049,217","$16,008,368,621","$14,367,660,863","$3,926,752,583","$16,435,678,319","$22,969,678,126","$19,313,701,592","$18,706,497,488","$7,273,208,079","$15,417,420,248","$2,184,130,695","$4,046,303,341","$5,020,105,480","$2,169,964,667","$20,952,500,914","$7,591,100,471","$83,977,150,286","$19,570,950,051","$1,666,599,951","$27,295,175,109","$8,001,778,132","$10,950,765,886","$43,107,700,202","$3,356,247,473","$7,172,607,581","$1,218,465,887","$11,969,101,955","$47,115,052,360","$4,307,191,774","$1,838,305,659","$21,530,981,689","$17,662,170,881","$5,323,295,110","$11,540,702,850","$662,782,718"
"Medicaid Enrollees by Enrollment Group, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seniors","10,792,400","152,100","17,000","236,100","100,200","1,898,000","130,300","189,200","26,500","37,100","878,900","312,200","52,500","38,500","428,300","60,700","184,900","52,500","133,200","192,300","72,900","144,100","304,600","265,100","115,600","112,200","132,500","23,300","31,800","79,500","22,500","229,800","85,200","1,151,300","285,100","11,900","309,000","96,900","141,400","377,300","46,600","132,300","14,600","178,500","624,500","32,100","26,100","183,300","195,700","62,700","173,600","9,800"
"People with Disabilities","12,342,700","217,600","15,600","184,000","160,200","958,500","107,300","88,900","25,100","30,200","2,982,900","355,200","21,200","56,700","289,600","86,600","176,600","80,900","204,000","229,200","60,100","137,700","346,300","342,100","124,700","161,700","183,300","22,400","41,200","60,500","28,100","178,600","80,000","640,000","366,700","14,800","397,000","120,900","117,700","643,900","40,300","176,300","20,200","333,700","708,800","51,600","23,500","180,400","178,100","88,100","191,600","12,500"
"Adults","21,837,100","336,500","68,300","519,400","120,400","3,803,100","246,800","278,900","70,200","69,200","1,891,200","732,000","68,900","48,500","663,900","133,500","528,500","122,500","180,700","125,500","104,900","403,400","747,900","576,200","354,500","214,500","209,300","49,300","59,300","104,900","22,600","304,100","188,700","1,565,800","883,800","20,100","667,600","178,100","100,400","440,400","87,200","643,100","30,100","566,700","1,788,300","79,700","20,900","318,400","265,500","75,500","733,600","24,500"
"Children","35,209,000","648,000","99,900","873,400","421,300","4,470,400","623,900","390,800","119,700","81,000","525,100","1,475,000","153,100","185,600","1,296,100","337,400","839,600","276,400","555,400","650,200","130,800","615,000","544,000","1,046,900","615,000","402,300","726,800","110,500","181,600","361,900","90,800","744,300","334,600","2,250,300","1,154,400","59,700","1,096,500","639,200","369,800","1,159,400","94,300","675,600","84,100","874,500","4,063,900","254,400","65,000","740,700","893,900","213,300","540,000","52,900"
"ACA Expansion Adults","27,382,600","N/A","81,700","846,700","409,000","5,867,800","806,200","407,300","110,200","96,200","N/A","N/A","197,100","174,100","1,260,600","295,300","629,300","N/A","715,700","834,100","131,200","499,100","577,900","1,139,300","374,400","N/A","419,900","130,000","104,800","421,400","111,500","851,500","349,000","3,058,300","334,000","44,900","1,082,300","454,500","824,800","1,309,000","120,600","N/A","20,800","N/A","N/A","170,700","81,400","814,000","955,800","270,200","N/A","N/A"
"Total","107,571,100","1,354,300","282,300","2,659,600","1,211,100","16,997,800","1,914,500","1,355,100","351,700","313,700","6,278,200","2,874,300","492,900","503,400","3,938,500","913,500","2,358,800","532,300","1,789,000","2,031,400","500,000","1,799,300","2,520,700","3,369,600","1,584,100","890,600","1,671,700","335,600","418,600","1,028,100","275,600","2,308,200","1,037,500","8,671,900","3,024,000","151,500","3,552,400","1,489,600","1,554,100","3,930,100","388,900","1,627,500","169,800","1,953,400","7,186,300","588,400","216,800","2,236,900","2,489,000","709,900","1,638,800","99,700"
"Total SSDI Beneficiaries and SSI Beneficiaries, Under Age 65, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SSDI Beneficiaries","8,779,931","229,079","12,626","156,125","140,997","650,697","95,726","87,541","28,220","13,387","571,725","294,973","22,587","47,746","290,987","87,519","216,469","76,555","204,555","167,226","58,391","130,534","197,049","354,378","132,040","131,283","221,483","28,022","45,802","64,735","48,235","199,970","63,999","518,882","333,532","16,253","370,591","134,829","110,097","419,803","37,898","181,341","20,799","249,583","579,408","51,240","23,239","218,912","170,029","88,962","169,516","14,356"
"SSI Beneficiaries","5,192,124","116,097","7,999","77,976","80,863","556,612","47,318","47,099","12,721","16,865","323,271","186,191","12,182","23,465","174,284","41,029","102,041","37,485","123,221","124,799","27,726","84,772","111,325","192,731","62,677","83,737","105,346","12,404","22,618","36,967","14,045","105,024","39,100","344,744","169,090","6,242","231,130","75,152","61,594","248,592","22,239","82,350","10,567","128,206","412,505","24,441","11,234","111,310","97,173","51,483","88,505","5,577"
"Beneficiaries of Both SSDI and SSI","1,009,353","26,263","1,651","13,463","16,767","123,063","9,162","8,712","2,113","2,220","53,759","32,187","2,245","5,305","30,741","9,828","20,166","8,097","26,340","23,074","7,511","12,941","21,914","40,814","13,262","17,812","23,681","3,273","5,521","5,397","3,325","18,547","8,233","61,741","33,928","1,665","44,334","14,961","11,946","45,709","4,779","16,061","2,466","26,473","67,458","4,677","3,381","21,664","17,873","11,158","20,288","1,404"
"Beneficiaries of Either SSDI or SSI","12,962,702","318,913","18,974","220,638","205,093","1,084,246","133,882","125,928","38,828","28,032","841,237","448,977","32,524","65,906","434,530","118,720","298,344","105,943","301,436","268,951","78,606","202,365","286,460","506,295","181,455","197,208","303,148","37,153","62,899","96,305","58,955","286,447","94,866","801,885","468,694","20,830","557,387","195,020","159,745","622,686","55,358","247,630","28,900","351,316","924,455","71,004","31,092","308,558","249,329","129,287","237,733","18,529"
"SSDI and SSI Beneficiaries as a Percent of Population Under Age 65, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SSDI Beneficiaries as a Percent of Total Population Under 65","3.3%","5.7%","2.1%","2.7%","5.8%","2.0%","2.0%","3.1%","3.6%","2.4%","3.4%","3.3%","2.1%","3.1%","2.9%","3.5%","3.9%","3.3%","5.7%","4.5%","5.6%","2.6%","3.6%","4.4%","2.8%","5.6%","4.5%","3.2%","2.9%","2.5%","4.4%","2.7%","3.9%","3.3%","3.9%","2.6%","4.0%","4.2%","3.3%","4.2%","4.5%","4.4%","2.9%","4.4%","2.3%","1.8%","4.8%","3.2%","2.7%","6.6%","3.6%","3.1%"
"SSI Beneficiaries as a Percent of Total Population Under 65","1.9%","2.9%","1.3%","1.3%","3.3%","1.7%","1.0%","1.7%","1.6%","3.1%","1.9%","2.1%","1.1%","1.5%","1.7%","1.6%","1.9%","1.6%","3.4%","3.4%","2.7%","1.7%","2.0%","2.4%","1.4%","3.6%","2.1%","1.4%","1.4%","1.4%","1.3%","1.4%","2.4%","2.2%","2.0%","1.0%","2.5%","2.3%","1.8%","2.5%","2.6%","2.0%","1.5%","2.3%","1.6%","0.8%","2.3%","1.6%","1.5%","3.8%","1.9%","1.2%"
"Beneficiaries of Both SSDI and SSI as a Percent of Total Population Under 65","0.4%","0.7%","0.3%","0.2%","0.7%","0.4%","0.2%","0.3%","0.3%","0.4%","0.3%","0.4%","0.2%","0.3%","0.3%","0.4%","0.4%","0.3%","0.7%","0.6%","0.7%","0.3%","0.4%","0.5%","0.3%","0.8%","0.5%","0.4%","0.3%","0.2%","0.3%","0.2%","0.5%","0.4%","0.4%","0.3%","0.5%","0.5%","0.4%","0.5%","0.6%","0.4%","0.3%","0.5%","0.3%","0.2%","0.7%","0.3%","0.3%","0.8%","0.4%","0.3%"
"Beneficiaries of Either SSDI or SSI as a Percent of Total Population Under 65","4.8%","7.9%","3.2%","3.8%","8.4%","3.4%","2.8%","4.4%","5.0%","5.1%","4.9%","5.0%","3.0%","4.2%","4.3%","4.7%","5.4%","4.5%","8.3%","7.3%","7.5%","4.1%","5.2%","6.3%","3.9%","8.5%","6.2%","4.3%","4.0%","3.7%","5.4%","3.8%","5.7%","5.1%","5.5%","3.4%","6.0%","6.0%","4.8%","6.2%","6.5%","6.0%","4.0%","6.2%","3.6%","2.4%","6.4%","4.5%","3.9%","9.6%","5.1%","4.0%"
"Total Population Under 65","268,075,400","4,027,000","601,500","5,826,300","2,429,100","32,125,300","4,797,700","2,861,000","781,600","553,000","17,002,700","9,003,900","1,078,900","1,563,600","10,195,200","2,538,100","5,522,300","2,348,900","3,611,200","3,693,700","1,045,000","4,993,500","5,531,500","7,990,600","4,641,400","2,331,800","4,913,300","873,100","1,590,300","2,591,100","1,086,000","7,516,500","1,657,700","15,688,900","8,518,200","619,900","9,363,100","3,239,500","3,358,400","10,083,400","850,000","4,130,400","715,200","5,687,700","25,373,400","2,921,400","488,700","6,903,500","6,317,700","1,351,200","4,683,400","459,700"
"Distribution of SSI Beneficiaries by Age, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Under 18","996,889","18,426","957","14,607","21,334","84,412","7,113","8,259","2,847","3,138","85,239","42,153","1,057","3,899","30,530","7,790","19,563","7,844","21,693","28,417","3,274","16,699","18,225","30,945","9,903","16,635","18,194","1,777","3,823","8,251","1,680","21,953","6,564","69,807","31,577","1,016","39,794","13,595","8,788","51,213","3,270","15,604","2,088","21,731","107,341","4,200","1,147","19,839","13,826","6,203","17,886","763"
"18-64","4,195,235","97,671","7,042","63,369","59,529","472,200","40,205","38,840","9,874","13,727","238,032","144,038","11,125","19,566","143,754","33,239","82,478","29,641","101,528","96,382","24,452","68,073","93,100","161,786","52,774","67,102","87,152","10,627","18,795","28,716","12,365","83,071","32,536","274,937","137,513","5,226","191,336","61,557","52,806","197,379","18,969","66,746","8,479","106,475","305,164","20,241","10,087","91,471","83,347","45,280","70,619","4,814"
"65+","2,349,082","30,445","3,366","34,396","15,560","576,578","20,703","18,317","3,393","6,660","224,299","62,898","9,274","4,992","70,833","8,382","19,727","8,109","33,243","35,739","6,369","30,444","56,732","58,181","25,347","23,990","23,495","3,968","5,708","16,597","2,482","60,138","17,173","228,314","47,666","1,630","60,502","17,256","22,042","80,073","8,353","24,633","3,366","34,594","181,514","6,041","2,899","37,008","40,642","13,264","20,618","1,129"
"Total","7,541,206","146,542","11,365","112,372","96,423","1,133,190","68,021","65,416","16,114","23,525","547,570","249,089","21,456","28,457","245,117","49,411","121,768","45,594","156,464","160,538","34,095","115,216","168,057","250,912","88,024","107,727","128,841","16,372","28,326","53,564","16,527","165,162","56,273","573,058","216,756","7,872","291,632","92,408","83,636","328,665","30,592","106,983","13,933","162,800","594,019","30,482","14,133","148,318","137,815","64,747","109,123","6,706"
"Age Distribution of Disabled Workers Under 65 in SSDI, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SSDI Workers Under 35","265,708","5,031","614","4,509","3,296","18,119","3,330","3,230","809","656","14,453","7,682","592","1,910","9,880","3,906","6,162","2,868","4,400","4,585","1,804","5,338","7,683","10,034","6,450","2,546","7,396","1,084","2,130","1,760","2,398","5,634","1,838","13,242","8,318","960","13,696","4,012","3,804","12,256","1,396","3,873","1,033","5,687","19,651","2,482","1,185","7,257","5,511","1,388","7,221","609"
"SSDI Workers 35-Full Retirement Age","7,193,066","192,489","9,989","130,576","118,864","520,925","79,750","69,706","23,759","10,891","484,332","245,914","18,362","38,571","230,875","69,203","178,838","61,634","170,169","134,657","47,608","106,364","158,581","286,986","105,045","108,012","181,836","22,838","35,968","55,652","39,415","162,234","54,069","420,755","278,050","12,557","299,321","112,624","89,482","344,602","31,064","151,880","16,514","208,630","475,808","40,383","18,482","179,877","138,849","73,384","134,833","11,859"
"Total SSDI Workers","7,458,774","197,520","10,603","135,085","122,160","539,044","83,080","72,936","24,568","11,547","498,785","253,596","18,954","40,481","240,755","73,109","185,000","64,502","174,569","139,242","49,412","111,702","166,264","297,020","111,495","110,558","189,232","23,922","38,098","57,412","41,813","167,868","55,907","433,997","286,368","13,517","313,017","116,636","93,286","356,858","32,460","155,753","17,547","214,317","495,459","42,865","19,667","187,134","144,360","74,772","142,054","12,468"
"Age and Sex Distribution of Disabled Workers Under 65 in SSDI, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SSDI Male Workers Under 35","150,380","2,775","375","2,641","1,808","11,002","1,964","1,860","494","304","8,353","4,270","369","1,112","5,508","2,211","3,445","1,623","2,502","2,498","984","2,954","4,208","5,450","3,649","1,390","4,228","603","1,187","1,016","1,173","3,271","1,032","7,227","4,692","547","7,686","2,314","2,305","6,782","798","2,294","586","3,091","11,387","1,429","631","3,987","3,149","820","4,067","329"
"SSDI Male Workers 35-Full Retirement Age","3,577,116","92,374","5,576","65,468","59,094","272,203","40,104","33,765","11,220","5,173","240,592","117,526","10,222","19,587","113,778","34,668","86,936","29,955","89,019","71,406","24,713","50,318","77,255","139,044","51,868","52,979","90,642","11,923","17,327","28,176","18,410","78,985","27,893","209,533","132,850","6,428","150,316","56,220","45,370","171,351","14,737","73,117","8,255","100,746","240,744","20,058","9,420","86,981","69,907","41,418","65,244","6,222"
"SSDI Female Workers Under 35","115,328","2,256","239","1,868","1,488","7,117","1,366","1,370","315","352","6,100","3,412","223","798","4,372","1,695","2,717","1,245","1,898","2,087","820","2,384","3,475","4,584","2,801","1,156","3,168","481","943","744","1,225","2,363","806","6,015","3,626","413","6,010","1,698","1,499","5,474","598","1,579","447","2,596","8,264","1,053","554","3,270","2,362","568","3,154","280"
