KFF - Custom State Reports

"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Dist. of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Iowa","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Total Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DSH Allotment","$16,041,485,127","$440,408,540","$30,205,888","$145,484,340","$61,859,435","$1,625,611,405","$137,166,754","$296,576,769","$13,209,862","$87,963,772","$291,100,994","$387,856,664","$14,279,534","$23,603,594","$318,820,026","$57,057,732","$308,626,547","$60,066,846","$207,731,314","$987,949,709","$152,095,838","$113,069,894","$452,279,570","$383,109,375","$110,564,876","$217,212,917","$683,897,415","$16,422,971","$41,333,406","$67,055,658","$237,407,510","$954,606,469","$29,147,878","$2,381,882,163","$424,828,089","$14,117,493","$588,226,570","$52,172,588","$65,857,267","$828,737,164","$95,607,083","$470,022,425","$16,163,300","$58,080,635","$1,392,218,235","$28,316,857","$32,981,113","$129,727,931","$274,333,510","$96,511,300","$137,582,277","$335,621"
"Medicaid Spending per Enrollee (Full-Benefit), 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Full-Benefit Enrollees","$7,909","$4,780","$9,279","$7,972","$5,945","$7,793","$6,590","$8,823","$10,954","$12,295","$4,948","$5,015","$6,023","$7,301","$6,570","$7,648","$10,124","$9,521","$9,313","$7,450","$9,110","$9,431","$10,754","$5,899","$12,056","$9,103","$9,382","$6,657","$9,764","$5,052","$8,402","$9,343","$7,928","$9,843","$7,381","$11,126","$7,893","$5,473","$7,566","$11,214","$8,792","$5,240","$7,450","$6,393","$7,274","$7,648","$8,694","$10,219","$7,268","$7,787","$7,311","$6,938"
"Seniors","$20,194","$14,871","$20,603","$11,312","$18,132","$14,571","$20,848","$31,481","$28,284","$25,927","$14,132","$17,502","$13,901","$17,070","$16,337","$25,483","$34,600","$31,258","$21,455","$16,566","$17,595","$23,845","$24,767","$13,976","$35,257","$23,402","$21,857","$15,861","$27,059","$10,093","$32,039","$23,534","$21,677","$27,805","$18,708","$36,538","$23,845","$14,192","$20,127","$33,378","$17,236","$11,084","$26,951","$17,430","$21,192","$15,387","$19,596","$29,855","$23,048","$25,553","$12,507","$19,506"
"People with Disabilities","$20,950","$14,298","$38,638","$32,172","$15,094","$30,765","$37,016","$33,125","$44,141","$45,952","$5,040","$15,710","$26,012","$27,535","$11,508","$29,028","$29,514","$30,192","$25,234","$19,878","$30,105","$41,516","$21,735","$16,902","$57,900","$23,162","$30,410","$22,872","$31,631","$23,411","$30,920","$37,335","$33,086","$36,652","$23,417","$34,588","$22,851","$17,497","$18,073","$26,540","$27,164","$16,128","$28,434","$13,878","$26,390","$24,631","$24,866","$40,478","$31,523","$19,480","$23,590","$24,499"
"Adults","$5,122","$2,911","$6,367","$6,031","$2,569","$5,500","$4,420","$5,579","$10,503","$8,103","$2,368","$3,809","$4,575","$5,406","$7,985","$5,123","$9,350","$4,799","$7,976","$6,456","$4,643","$6,305","$6,085","$4,486","$5,910","$5,149","$6,379","$5,163","$6,802","$4,305","$4,730","$5,791","$6,164","$4,350","$5,785","$5,490","$4,774","$4,025","$7,376","$6,054","$5,458","$3,571","$4,166","$4,903","$5,338","$7,658","$4,757","$5,694","$5,343","$5,190","$5,059","$4,504"
"Children","$3,321","$2,227","$5,457","$3,144","$2,858","$3,072","$2,883","$3,664","$5,001","$4,638","$4,104","$2,298","$2,653","$2,973","$2,756","$2,850","$3,553","$3,424","$4,644","$3,472","$3,726","$3,587","$4,253","$2,272","$3,766","$4,371","$4,576","$3,722","$3,415","$2,353","$4,313","$3,248","$4,026","$3,254","$3,372","$3,474","$3,230","$3,263","$3,424","$4,012","$3,853","$2,454","$2,995","$3,571","$3,855","$3,581","$4,810","$3,102","$2,801","$3,244","$2,872","$3,023"
"ACA Expansion Adults","$6,507","N/A","$8,651","$8,300","$5,195","$6,364","$4,658","$7,397","$9,106","$7,995","N/A","N/A","$5,223","$5,308","$5,872","$5,723","$9,155","N/A","$8,179","$6,718","$5,358","$8,695","$7,643","$5,010","$9,845","N/A","$7,445","$6,012","$9,495","$5,096","$4,640","$6,448","$6,603","$6,235","$1,271","$10,476","$6,309","$4,755","$6,514","$6,638","$6,766","N/A","$5,043","N/A","N/A","$7,366","$5,737","$9,015","$5,652","$6,090","N/A","N/A"
"Medicaid Spending per Enrollee (Full or Partial Benefit) by Enrollment Group, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Full or Partial Benefit Enrollees","$7,407","$4,290","$9,247","$7,420","$5,757","$7,005","$6,322","$7,961","$10,020","$11,917","$4,632","$4,631","$5,968","$7,086","$6,318","$7,469","$9,484","$9,070","$8,948","$7,073","$7,854","$9,134","$9,112","$5,732","$11,809","$8,167","$9,222","$6,507","$9,665","$4,883","$7,874","$9,077","$7,317","$9,684","$6,472","$11,001","$7,684","$5,372","$7,046","$10,969","$8,630","$4,407","$7,178","$6,127","$6,556","$7,320","$8,478","$9,626","$7,096","$7,499","$7,042","$6,647"
