GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
51,Virginia,VA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.222715347172034
53,Washington,WA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,59.71381226520657
54,West Virginia,WV,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.88459026887364
55,Wisconsin,WI,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,45.93619356691529
56,Wyoming,WY,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,61.31980315435381
72,Puerto Rico,PR,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,0.75,51.53015022021541
000,United States,USA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,54.25091930700739
01,Alabama,AL,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,48.056378502557365
02,Alaska,AK,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,56.53615707429337
04,Arizona,AZ,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,27.565537289225066
05,Arkansas,AR,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,43.133937238804336
06,California,CA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,51.57363340834249
08,Colorado,CO,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,72.28641449707965
09,Connecticut,CT,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,53.97462958163794
10,Delaware,DE,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,58.53375574901956
11,District of Columbia,DC,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,99.90290097142974
12,Florida,FL,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,46.088951602314445
13,Georgia,GA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,58.42961863641834
15,Hawaii,HI,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,69.03295879089518
16,Idaho,ID,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,54.250919307007266
17,Illinois,IL,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,64.06123444071842
18,Indiana,IN,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,44.07055556865748
19,Iowa,IA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,26.641398688416018
20,Kansas,KS,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,27.508309835291424
21,Kentucky,KY,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,31.33328306162425
22,Louisiana,LA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,30.07379957525445
23,Maine,ME,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,37.63994102538823
24,Maryland,MD,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,54.939243550072234
25,Massachusetts,MA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,43.70408610602915
26,Michigan,MI,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,38.62403570895411
27,Minnesota,MN,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,53.258504186453514
28,Mississippi,MS,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,40.74907174251896
29,Missouri,MO,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,37.07066768214813
30,Montana,MT,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,47.37375486107474
31,Nebraska,NE,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,21.070952954208792
32,Nevada,NV,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,44.31163829252039
33,New Hampshire,NH,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,24.43542793505592
34,New Jersey,NJ,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,53.55200728462738
35,New Mexico,NM,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,28.243411804209067
